address,area,price,property,room_id,status,use
厦门金茂2017XP08地块6号楼17层1703室,82.74,39218,商品房,1703,,住宅
厦门金茂2017XP08地块6号楼17层1702室,82.74,39218,商品房,1702,,住宅
厦门金茂2017XP08地块6号楼17层1701室,89.09,40238,商品房,1701,,住宅
厦门金茂2017XP08地块6号楼18层1804室,89.09,40078,商品房,1804,,住宅
厦门金茂2017XP08地块6号楼18层1803室,82.74,39318,商品房,1803,,住宅
厦门金茂2017XP08地块6号楼18层1802室,82.74,39318,商品房,1802,,住宅
厦门金茂2017XP08地块6号楼18层1801室,89.09,40338,商品房,1801,,住宅
厦门金茂2017XP08地块6号楼19层1904室,89.09,40178,商品房,1904,,住宅
厦门金茂2017XP08地块6号楼19层1903室,82.74,39418,商品房,1903,,住宅
厦门金茂2017XP08地块6号楼19层1902室,82.74,39418,商品房,1902,,住宅
厦门金茂2017XP08地块6号楼19层1901室,89.09,40438,商品房,1901,,住宅
厦门金茂2017XP08地块6号楼20层2004室,89.09,40278,商品房,2004,,住宅
厦门金茂2017XP08地块6号楼20层2003室,82.74,39518,商品房,2003,,住宅
厦门金茂2017XP08地块6号楼20层2002室,82.74,39518,商品房,2002,,住宅
厦门金茂2017XP08地块6号楼20层2001室,89.09,40538,商品房,2001,,住宅
厦门金茂2017XP08地块6号楼21层2104室,89.09,40228,商品房,2104,,住宅
厦门金茂2017XP08地块6号楼21层2103室,82.74,39468,商品房,2103,,住宅
厦门金茂2017XP08地块6号楼21层2102室,82.74,39468,商品房,2102,,住宅
厦门金茂2017XP08地块6号楼21层2101室,89.09,40488,商品房,2101,,住宅
厦门金茂2017XP08地块5号楼2层203室,82.41,36761,商品房,203,,住宅
厦门金茂2017XP08地块5号楼2层202室,82.41,36761,商品房,202,,住宅
厦门金茂2017XP08地块5号楼2层201室,88.87,37221,商品房,201,,住宅
厦门金茂2017XP08地块5号楼3层304室,88.87,38151,商品房,304,,住宅
厦门金茂2017XP08地块5号楼3层303室,82.41,37161,商品房,303,,住宅
厦门金茂2017XP08地块5号楼3层302室,82.41,37161,商品房,302,,住宅
厦门金茂2017XP08地块5号楼3层301室,88.87,37621,商品房,301,,住宅
厦门金茂2017XP08地块5号楼4层404室,88.87,38551,商品房,404,,住宅
厦门金茂2017XP08地块5号楼4层403室,82.41,37561,商品房,403,,住宅
厦门金茂2017XP08地块5号楼4层402室,82.41,37561,商品房,402,,住宅
厦门金茂2017XP08地块5号楼4层401室,88.87,38021,商品房,401,,住宅
厦门金茂2017XP08地块5号楼5层504室,88.87,38701,商品房,504,,住宅
厦门金茂2017XP08地块5号楼5层503室,82.41,37711,商品房,503,,住宅
厦门金茂2017XP08地块5号楼5层502室,82.41,37711,商品房,502,,住宅
厦门金茂2017XP08地块5号楼5层501室,88.87,38171,商品房,501,,住宅
厦门金茂2017XP08地块5号楼6层604室,88.87,38851,商品房,604,,住宅
厦门金茂2017XP08地块5号楼6层603室,82.41,37861,商品房,603,,住宅
厦门金茂2017XP08地块5号楼6层602室,82.41,37861,商品房,602,,住宅
厦门金茂2017XP08地块5号楼6层601室,88.87,38321,商品房,601,,住宅
厦门金茂2017XP08地块5号楼7层704室,88.87,39001,商品房,704,,住宅
厦门金茂2017XP08地块5号楼7层703室,82.41,38011,商品房,703,,住宅
厦门金茂2017XP08地块5号楼7层702室,82.41,38011,商品房,702,,住宅
厦门金茂2017XP08地块5号楼7层701室,88.87,38471,商品房,701,,住宅
厦门金茂2017XP08地块5号楼8层804室,88.87,39151,商品房,804,,住宅
厦门金茂2017XP08地块5号楼8层803室,82.41,38161,商品房,803,,住宅
厦门金茂2017XP08地块5号楼8层802室,82.41,38161,商品房,802,,住宅
厦门金茂2017XP08地块5号楼8层801室,88.87,38621,商品房,801,,住宅
厦门金茂2017XP08地块5号楼9层904室,88.87,39301,商品房,904,,住宅
厦门金茂2017XP08地块5号楼9层903室,82.41,38311,商品房,903,,住宅
厦门金茂2017XP08地块5号楼9层902室,82.41,38311,商品房,902,,住宅
厦门金茂2017XP08地块5号楼9层901室,88.87,38771,商品房,901,,住宅
厦门金茂2017XP08地块5号楼10层1004室,88.87,39451,商品房,1004,,住宅
厦门金茂2017XP08地块5号楼10层1003室,82.41,38461,商品房,1003,,住宅
厦门金茂2017XP08地块5号楼10层1002室,82.41,38461,商品房,1002,,住宅
厦门金茂2017XP08地块5号楼10层1001室,88.87,38871,商品房,1001,,住宅
厦门金茂2017XP08地块5号楼11层1104室,88.87,39551,商品房,1104,,住宅
厦门金茂2017XP08地块5号楼11层1103室,82.41,38561,商品房,1103,,住宅
厦门金茂2017XP08地块5号楼11层1102室,82.41,38561,商品房,1102,,住宅
厦门金茂2017XP08地块5号楼11层1101室,88.87,38971,商品房,1101,,住宅
厦门金茂2017XP08地块5号楼12层1204室,88.87,39651,商品房,1204,,住宅
厦门金茂2017XP08地块5号楼12层1203室,82.41,38661,商品房,1203,,住宅
厦门金茂2017XP08地块5号楼12层1202室,82.41,38661,商品房,1202,,住宅
厦门金茂2017XP08地块5号楼12层1201室,88.87,39071,商品房,1201,,住宅
厦门金茂2017XP08地块5号楼13层1304室,88.87,39751,商品房,1304,,住宅
厦门金茂2017XP08地块5号楼13层1303室,82.41,38761,商品房,1303,,住宅
厦门金茂2017XP08地块5号楼13层1302室,82.41,38761,商品房,1302,,住宅
厦门金茂2017XP08地块5号楼13层1301室,88.87,39171,商品房,1301,,住宅
厦门金茂2017XP08地块5号楼14层1404室,88.87,39851,商品房,1404,,住宅
厦门金茂2017XP08地块5号楼14层1403室,82.41,38861,商品房,1403,,住宅
厦门金茂2017XP08地块5号楼14层1402室,82.41,38861,商品房,1402,,住宅
厦门金茂2017XP08地块5号楼14层1401室,88.87,39271,商品房,1401,,住宅
厦门金茂2017XP08地块5号楼15层1504室,88.87,39951,商品房,1504,,住宅
厦门金茂2017XP08地块5号楼15层1503室,82.41,38961,商品房,1503,,住宅
