address,area,price,property,room_id,status,use
厦门世茂2016XP10地块5号楼1跃2层108室,118.21,59659.34,商品房,108,,住宅
厦门世茂2016XP10地块5号楼1跃2层107室,118.04,57318.42,商品房,107,,住宅
厦门世茂2016XP10地块5号楼1跃2层106室,118.04,57318.42,商品房,106,,住宅
厦门世茂2016XP10地块5号楼1跃2层105室,118.04,57318.42,商品房,105,,住宅
厦门世茂2016XP10地块5号楼1跃2层104室,118.04,57318.42,商品房,104,,住宅
厦门世茂2016XP10地块5号楼1跃2层103室,118.05,57318.42,商品房,103,,住宅
厦门世茂2016XP10地块5号楼1跃2层102室,118.04,57318.42,商品房,102,,住宅
厦门世茂2016XP10地块5号楼1跃2层101室,118.21,59659.34,商品房,101,,住宅
厦门世茂2016XP10地块5号楼1跃2层308室,118.05,46659.34,商品房,308,,住宅
厦门世茂2016XP10地块5号楼1跃2层307室,117.90,44318.42,商品房,307,,住宅
厦门世茂2016XP10地块5号楼1跃2层306室,117.89,44318.42,商品房,306,,住宅
厦门世茂2016XP10地块5号楼1跃2层305室,117.88,44318.42,商品房,305,,住宅
厦门世茂2016XP10地块5号楼1跃2层304室,117.88,44318.42,商品房,304,,住宅
厦门世茂2016XP10地块5号楼1跃2层303室,117.88,44318.42,商品房,303,,住宅
厦门世茂2016XP10地块5号楼1跃2层302室,117.89,44318.42,商品房,302,,住宅
厦门世茂2016XP10地块5号楼1跃2层301室,118.05,46659.34,商品房,301,,住宅
厦门世茂2016XP10地块5号楼1层楼梯,不可售,17.26,其他,T5,,其它
厦门世茂2016XP10地块5号楼1跃2层508室,116.03,54959.34,商品房,508,,住宅
厦门世茂2016XP10地块5号楼1跃2层507室,115.88,52618.42,商品房,507,,住宅
厦门世茂2016XP10地块5号楼1跃2层506室,115.87,52618.42,商品房,506,,住宅
厦门世茂2016XP10地块5号楼1跃2层505室,115.86,52618.42,商品房,505,,住宅
厦门世茂2016XP10地块5号楼1跃2层504室,115.86,52618.42,商品房,504,,住宅
厦门世茂2016XP10地块5号楼1跃2层503室,115.86,52618.42,商品房,503,,住宅
厦门世茂2016XP10地块5号楼1跃2层502室,115.86,52618.42,商品房,502,,住宅
厦门世茂2016XP10地块5号楼1跃2层501室,116.03,54959.34,商品房,501,,住宅
